Address,City,State,Latitude,Longitude
1510 S GRAND AVE,CHARLES CITY,IA,43.04749,-92.67189
3205 WILLOW CREEK CT,CLEAR LAKE,IA,43.14583,-93.34888
1006 N 20TH ST,CLEAR LAKE,IA,43.14543,-93.36422
2321 LINCOLN WAY,CLINTON,IA,41.81468,-90.24127
249 MAIN AVE,CLINTON,IA,41.87317,-90.1831
911 S 14TH ST,CLINTON,IA,41.83581,-90.21829
16050 HICKMAN RD,CLIVE,IA,41.61455,-93.83989
330 2ND AVE SE,CRESCO,IA,43.37134,-92.11202
100 W 65TH ST,DAVENPORT,IA,41.58574,-90.57342
2850 W LOCUST ST,DAVENPORT,IA,41.53838,-90.61916
1225 E KIMBERLY RD,DAVENPORT,IA,41.55602,-90.55666
2050 E 53RD ST,DAVENPORT,IA,41.57548,-90.54764
1650 W KIMBERLY RD,DAVENPORT,IA,41.56074,-90.59898
4619 N BRADY ST,DAVENPORT,IA,41.56833,-90.5675
301 W KIMBERLY RD,DAVENPORT,IA,41.55926,-90.57509
13888 118TH AVE,DAVENPORT,IA,41.50764,-90.67799
1200 GUTHRIE ST,DE SOTO,IA,41.53776,-94.01317
1420 11TH ST,DE WITT,IA,41.82653,-90.55175
1101 MONTGOMERY ST,DECORAH,IA,43.29297,-91.77053
306 COLLEGE DR,DECORAH,IA,43.30783,-91.79676
905 SHORT ST,DECORAH,IA,43.29196,-91.79558
341 S STATE ST,DENVER,IA,42.67083,-92.33696
727 SE 14TH ST,DES MOINES,IA,41.58167,-93.59641
5145 NE 14TH ST,DES MOINES,IA,41.65461,-93.60019
3301 E EUCLID AVE,DES MOINES,IA,41.62694,-93.55083
3409 SW 9TH ST,DES MOINES,IA,41.55306,-93.62583
4105 HUBBELL AVE,DES MOINES,IA,41.63441,-93.53379
4923 MERLE HAY RD,DES MOINES,IA,41.64933,-93.69727
109 E DIKE RD,DIKE,IA,42.46941,-92.62779
1180 KERPER CT,DUBUQUE,IA,42.51462,-90.65565
2035 JOHN F KENNEDY RD,DUBUQUE,IA,42.50741,-90.72189
806 WACKER DR STE 140,DUBUQUE,IA,42.4925,-90.71861
2685 DODGE ST,DUBUQUE,IA,42.49194,-90.70229
210 SOUTH ST,DUMONT,IA,42.74517,-92.96744
813 S CANFIELD ST,DUNKERTON,IA,42.56486,-92.16026
1303 MAIN ST,EMMETSBURG,IA,43.11207,-94.66804
1724 CENTRAL AVE,ESTHERVILLE,IA,43.40181,-94.82041
100 W GILBERT DR,EVANSDALE,IA,42.46236,-92.29773
806 HIGHWAY 69 N,FOREST CITY,IA,43.27025,-93.63398
1923 5TH AVE S,FORT DODGE,IA,42.50094,-94.17101
201 N 15TH ST,FORT DODGE,IA,42.50869,-94.17779
3121 5TH AVE S,FORT DODGE,IA,42.50083,-94.15194
1606 S TRITON DR,FORT DODGE,IA,42.48581,-94.20204
150 E US HIGHWAY 18,GARNER,IA,43.10617,-93.60125
1450 NE GATEWAY CT,GRIMES,IA,41.69951,-93.77736
2351 E 1ST ST,GRIMES,IA,41.68906,-93.76912
402 S HIGHWAY 52,GUTTENBERG,IA,42.78236,-91.10083
300 CENTRAL AVE W,HAMPTON,IA,42.74111,-93.21194
1880 BLAIRS FERRY RD,HIAWATHA,IA,42.03473,-91.69949
100 5TH AVE NE,INDEPENDENCE,IA,42.46904,-91.88902
923 S RIVERSIDE DR,IOWA CITY,IA,41.64889,-91.54055
1907 KEOKUK ST,IOWA CITY,IA,41.64234,-91.52515
701 S OAK ST,IOWA FALLS,IA,42.50639,-93.2633
811 BARRICK RD,JANESVILLE,IA,42.6497,-92.45486
841 SOUTH ST,JESUP,IA,42.4685,-92.05949
5608 MERLE HAY RD,JOHNSTON,IA,41.66295,-93.69786
301 MAIN ST,LANSING,IA,43.36154,-91.21723
1201 EAGLE RIDGE RD,LE CLAIRE,IA,41.58821,-90.35761
321 5TH AVE SW,LE MARS,IA,42.78877,-96.17461
1000 W MAIN ST,MANCHESTER,IA,42.48332,-91.47041
917 W PLATT ST,MAQUOKETA,IA,42.06838,-90.67874
102 DAVID ST,MAQUOKETA,IA,42.04949,-90.66643
3055 7TH AVE,MARION,IA,42.03298,-91.57959
962 62ND ST,MARION,IA,42.03466,-91.54563
5992 CARLSON WAY,MARION,IA,42.03816,-91.54891
814 S 6TH ST,MARSHALLTOWN,IA,42.03844,-92.92127
810 S 3RD AVE,MARSHALLTOWN,IA,42.03851,-92.90726
2500 S CENTER ST STE B,MARSHALLTOWN,IA,42.01524,-92.91183
1316 4TH ST SW,MASON CITY,IA,43.14862,-93.22204
1502 S FEDERAL AVE,MASON CITY,IA,43.13698,-93.20144
2480 4TH ST SW,MASON CITY,IA,43.14889,-93.2375
235 S EISENHOWER AVE,MASON CITY,IA,43.14937,-93.26034
125 MAIN ST,MC GREGOR,IA,43.0256,-91.17388
1611 202ND ST,MILFORD,IA,43.35282,-95.14272
800 8TH ST NW,MITCHELLVILLE,IA,41.67482,-93.36812
12801 FALCON AVE,MONONA,IA,43.04001,-91.39123
3605 UNIVERSITY DR,MUSCATINE,IA,41.45961,-91.01764
201 GREENWOOD AVE,NASHUA,IA,42.95854,-92.52992
825 W MILWAUKEE ST,NEW HAMPTON,IA,43.06753,-92.32838
115 E MAIN ST,NEW HAMPTON,IA,43.05909,-92.31334
1910 1ST AVE E,NEWTON,IA,41.69929,-93.02809
1810 DIAMOND BLVD,NORTH LIBERTY,IA,41.72479,-91.64607
1200 CHATHAM AVE,NORWALK,IA,41.48746,-93.67336
1350 INDUSTRIAL PARK DR,OELWEIN,IA,42.65891,-91.90919
10 1ST AVE SE,OELWEIN,IA,42.67796,-91.91243
809 MAIN ST,OSAGE,IA,43.28441,-92.80906
605 HIGHWAY 57,PARKERSBURG,IA,42.57083,-92.78638
511 1ST AVE,PERRY,IA,41.83249,-94.10693
1101 NE 56TH ST,PLEASANT HILL,IA,41.59992,-93.50292
1090 PARKER BLVD,POLK CITY,IA,41.76476,-93.72584
124 W TILDEN ST,POSTVILLE,IA,43.08436,-91.56897
COUNTY ROAD 49 410 E 6TH ST,READLYN,IA,42.70561,-92.21949
1521 PARK ST,SHELDON,IA,43.18619,-95.83915
705 N PUBLIC RD,SHELL ROCK,IA,42.71526,-92.57498
1694 PIERCE AVE,SIBLEY,IA,43.40451,-95.72211
1581 S MAIN AVE,SIOUX CENTER,IA,43.06063,-96.17732
2548 GLENN AVE,SIOUX CITY,IA,42.46474,-96.37492
101 E 42ND ST,SPENCER,IA,43.18119,-95.14862
3350 HIGHWAY 71,SPIRIT LAKE,IA,43.40896,-95.12724
1317 E LAKESHORE DR,STORM LAKE,IA,42.63441,-95.18356
1704 BROAD ST,STORY CITY,IA,42.18735,-93.56708
1219 S DIVISION ST,STUART,IA,41.49053,-94.31786
1002 S COUNTY RD,TOLEDO,IA,41.98741,-92.58324
6941 DOUGLAS AVE,URBANDALE,IA,41.62959,-93.71182
10912 DOUGLAS AVE,URBANDALE,IA,41.62892,-93.76854
10101 PLUM DR,URBANDALE,IA,41.65006,-93.74457
1208 W 13TH ST,VINTON,IA,42.15902,-92.03876
1717 E SAN MARNAN DR,WATERLOO,IA,42.46713,-92.32291
135 E RIDGEWAY AVE,WATERLOO,IA,42.46975,-92.35544
1803 LAPORTE RD,WATERLOO,IA,42.46922,-92.32194
506 W 9TH ST,WATERLOO,IA,42.48934,-92.33801
707 BROADWAY ST,WATERLOO,IA,42.51256,-92.3455
111 E DONALD ST,WATERLOO,IA,42.52765,-92.33748
875 FISHER DR,WATERLOO,IA,42.4556,-92.37574
1105 CEDAR BEND ST,WATERLOO,IA,42.52898,-92.36912
324 FLETCHER AVE,WATERLOO,IA,42.48834,-92.36756
855 SE ALICES RD,WAUKEE,IA,41.60247,-93.85152
101 ROSSVILLE RD,WAUKON,IA,43.26814,-91.47612
2501 4TH ST SW,WAVERLY,IA,42.70269,-92.47549
400 E BREMER AVE,WAVERLY,IA,42.72536,-92.4646
505 FAIR MEADOW DR,WEBSTER CITY,IA,42.45358,-93.81757
1515 OVERPASS DR,WEBSTER CITY,IA,42.47018,-93.84176
1220 GRAND AVE STE 101,WEST DES MOINES,IA,41.58042,-93.72061
1000 S 7TH ST,ROCHELLE,IL,41.9104,-89.06887
16040 OAKFIELD PKWY,SOUTH BELOIT,IL,42.49156,-88.98837
113 E LEAD ST,BESSEMER,MI,46.48098,-90.05081
310 E STATE HIGHWAY M35,GWINN,MI,46.27618,-87.41512
1010 N STEPHENSON AVE,IRON MOUNTAIN,MI,45.83391,-88.05866
260 E CLOVERLAND DR,IRONWOOD,MI,46.46387,-90.16703
450 S CARPENTER AVE,KINGSFORD,MI,45.80315,-88.07059
301 N M553,MARQUETTE,MI,46.46485,-87.42586
2611 BRIDGE AVE,ALBERT LEA,MN,43.68334,-93.36005
1210 E MAIN ST,ALBERT LEA,MN,43.65176,-93.35362
906 W FRONT ST,ALBERT LEA,MN,43.64428,-93.3805
6300 LABEAUX AVE NE,ALBERTVILLE,MN,45.24221,-93.66252
1756 BUNKER LAKE BLVD NW,ANDOVER,MN,45.21892,-93.31075
2900 CUTTERS GROVE AVE,ANOKA,MN,45.21134,-93.41277
617 BUCHANAN ST,ANOKA,MN,45.20686,-93.37851
14941 FLORENCE TRL,APPLE VALLEY,MN,44.73257,-93.20169
7545 145TH ST W,APPLE VALLEY,MN,44.73972,-93.21869
15065 DODD BLVD,APPLE VALLEY,MN,44.73065,-93.15694
13357 PALOMINO DR,APPLE VALLEY,MN,44.75666,-93.24731
1300 14TH ST NW,AUSTIN,MN,43.67787,-92.99335
1509 10TH PL NE,AUSTIN,MN,43.6763,-92.95351
1401 4TH ST NW,AUSTIN,MN,43.67893,-92.98003
1201 W OAKLAND AVE,AUSTIN,MN,43.66634,-92.98906
12776 ROLLING RIDGE RD,BECKER,MN,45.38498,-93.86177
104 ASPEN LN,BELLE PLAINE,MN,44.6234,-93.75722
130 EAGLE LAKE RD N,BIG LAKE,MN,45.33292,-93.74092
1355 85TH AVE NE,BLAINE,MN,45.12528,-93.23671
10880 AUSTIN ST NE,BLAINE,MN,45.16709,-93.16546
11736 ULYSSES LN NE,BLAINE,MN,45.18347,-93.2397
10510 RADISSON RD NE,BLAINE,MN,45.16117,-93.21489
12260 FRAIZER ST NE,BLAINE,MN,45.1914,-93.16206
209 S GROVE ST,BLUE EARTH,MN,43.63731,-94.09026
9495 NOBLE PKWY N,BROOKLYN PARK,MN,45.1267,-93.33722
5801 96TH AVE N,BROOKLYN PARK,MN,45.13088,-93.35504
1600 CESSNA ST,BUFFALO,MN,45.15514,-93.84712
501 CRYSTAL LAKE RD W,BURNSVILLE,MN,44.73106,-93.28539
1945 W 136TH ST,BURNSVILLE,MN,44.75597,-93.30401
16 2ND AVE NW,BYRON,MN,44.0294,-92.64752
863 HIGH POINT DR NE,BYRON,MN,44.03006,-92.63153
608 ESCH DR,CALEDONIA,MN,43.64037,-91.5031
4000 MAIN ST S,CAMBRIDGE,MN,45.53784,-93.23181
1818 2ND AVE SW,CAMBRIDGE,MN,45.5722,-93.2459
2450 2ND AVE SE,CAMBRIDGE,MN,45.57161,-93.19393
1711 HIGHWAY 210,CARLTON,MN,46.66407,-92.47152
1700 MONROE DR,CARVER,MN,44.77298,-93.64377
2045 MAIN ST,CENTERVILLE,MN,45.16428,-93.03791
8921 CROSSROADS BLVD,CHANHASSEN,MN,44.84248,-93.53972
2201 W 78TH ST,CHANHASSEN,MN,44.86419,-93.57803
2900 N CHESTNUT ST,CHASKA,MN,44.82898,-93.60416
150 HIGHWAY 30 W,CHATFIELD,MN,43.85051,-92.19402
11085 LAKE BLVD,CHISAGO CITY,MN,45.37563,-92.8823
3405 LAKE DR,CIRCLE PINES,MN,45.13042,-93.18328
8191 179TH ST NW,CLEARWATER,MN,45.4108,-94.06004
235 NORTH RD,CLOQUET,MN,46.7362,-92.46657
900 WASHINGTON AVE,CLOQUET,MN,46.7065,-92.45513
1320 HIGHWAY 45,CLOQUET,MN,46.70157,-92.42462
145 BROADWAY AVE N,COKATO,MN,45.08083,-94.18979
325 COUNTY ROAD 49,COLD SPRING,MN,45.45085,-94.43296
9250 SPRINGBROOK DR NW,COON RAPIDS,MN,45.13811,-93.27425
42165 COUNTY ROAD 12,DAKOTA,MN,43.92397,-91.43845
1305 BABCOCK BLVD E,DELANO,MN,45.03471,-93.77034
408 2ND AVE NW,DODGE CENTER,MN,44.03206,-92.85739
4890 RICE LAKE RD,DULUTH,MN,46.86548,-92.1506
110 S BOUNDARY AVE,DULUTH,MN,46.74131,-92.21676
4215 GRAND AVE,DULUTH,MN,46.7493,-92.1555
6 W CENTRAL ENTRANCE,DULUTH,MN,46.79981,-92.13291
2715 W MICHIGAN ST,DULUTH,MN,46.76042,-92.13152
6516 GRAND AVE,DULUTH,MN,46.73078,-92.1802
415 HESTER ST E,DUNDAS,MN,44.42716,-93.19825
3145 DODD RD,EAGAN,MN,44.84381,-93.12375
4600 SLATER RD,EAGAN,MN,44.78949,-93.22398
18755 SANDHILL PKWY NE,EAST BETHEL,MN,45.31081,-93.23473
26050 FRANCE AVE,ELKO NEW MARKET,MN,44.57191,-93.32941
380 SANDSTONE DR NW,EYOTA,MN,43.99778,-92.24777
217 S STATE ST,FAIRMONT,MN,43.65146,-94.44657
1955 2ND AVE NW,FARIBAULT,MN,44.31208,-93.27188
1405 HIGHWAY 60 W,FARIBAULT,MN,44.29395,-93.28886
102 5TH AVE NE,FARIBAULT,MN,44.29167,-93.26138
217 ELM ST,FARMINGTON,MN,44.64076,-93.14578
19095 CENTERFIELD CT,FARMINGTON,MN,44.67314,-93.13584
18290 PILOT KNOB RD,FARMINGTON,MN,44.68429,-93.17612
4868 208TH ST N,FOREST LAKE,MN,45.25178,-93.00848
2600 11TH ST E,GLENCOE,MN,44.76957,-94.12768
415 MAIN AVE N,HARMONY,MN,43.55869,-92.01045
1630 VERMILLION ST,HASTINGS,MN,44.72886,-92.85298
4978 MILLER TRUNK HIGHWAY,HERMANTOWN,MN,46.83315,-92.20657
4145 HAINES RD,HERMANTOWN,MN,46.80815,-92.17546
2401 EVERGREEN CIR,HERMANTOWN,MN,46.82114,-92.14082
4805 MILLER TRUNK HIGHWAY,HERMANTOWN,MN,46.82347,-92.18749
460 MORRIS AVE,HINCKLEY,MN,46.00981,-92.92601
477 N MILL ST,HOKAH,MN,43.76362,-91.34609
14730 VICTOR HUGO BLVD N,HUGO,MN,45.16433,-93.01809
10 DENVER AVE SE,HUTCHINSON,MN,44.86995,-94.37416
400 E DUAL BLVD,ISANTI,MN,45.49324,-93.24175
1601 N MANTORVILLE AVE,KASSON,MN,44.04418,-92.74925
200 8TH ST SE,KASSON,MN,44.0203,-92.74645
115 S KNOWLTON ST,KELLOGG,MN,44.3071,-92.00412
216 N 4TH ST,LA CRESCENT,MN,43.83328,-91.30223
319 S 3RD ST,LA CRESCENT,MN,43.82583,-91.305
119 N LAKESHORE DR,LAKE CITY,MN,44.44965,-92.26765
994 W LYON AVE,LAKE CITY,MN,44.44314,-92.27535
8513 5TH ST N,LAKE ELMO,MN,44.95812,-92.93365
9955 HUDSON BLVD N,LAKE ELMO,MN,44.95088,-92.90499
20187 DODD BLVD,LAKEVILLE,MN,44.65729,-93.25333
17388 GLACIER WAY,LAKEVILLE,MN,44.69788,-93.21833
16260 KENRICK AVE,LAKEVILLE,MN,44.71337,-93.27863
195 COUNTY ROAD 25,LEWISTON,MN,43.98756,-91.85947
6775 HODGSON RD,LINO LAKES,MN,45.15181,-93.13668
825 S KNISS AVE,LUVERNE,MN,43.64414,-96.21271
17 STOLTZMAN RD,MANKATO,MN,44.15967,-94.01458
1291 RAINTREE RD,MANKATO,MN,44.17781,-93.96749
921 CONEFLOWER DR,MANKATO,MN,44.15623,-93.94505
1701 PREMIER DR,MANKATO,MN,44.18801,-93.95074
1701 MONKS AVE,MANKATO,MN,44.14448,-93.9886
1549 MADISON AVE,MANKATO,MN,44.16629,-93.96477
1271 N RIVER DR,MANKATO,MN,44.18803,-94.01279
19010 COUNTY ROAD 81,MAPLE GROVE,MN,45.16883,-93.51884
1001 E COLLEGE DR,MARSHALL,MN,44.45053,-95.77705
814 W MAIN ST,MARSHALL,MN,44.45343,-95.79678
220 KRAFT DR SE,MELROSE,MN,45.66982,-94.81105
920 1ST ST E,MILACA,MN,45.75661,-93.63974
7020 HIGHWAY 61 W,MINNESOTA CITY,MN,44.07734,-91.73155
9440 STATE HIGHWAY 25 NE,MONTICELLO,MN,45.28727,-93.80352
9855 HART BLVD,MONTICELLO,MN,45.29342,-93.76782
4694 OPPORTUNITY DR,MOOSE LAKE,MN,46.43319,-92.75675
707 MCLEAN ST,MORA,MN,45.86782,-93.29681
101 CHALUPSKY AVE NE,NEW PRAGUE,MN,44.54403,-93.55601
100 4TH AVE NW,NEW PRAGUE,MN,44.54458,-93.58488
1623 N BROADWAY ST,NEW ULM,MN,44.32854,-94.47674
1521 S BROADWAY ST,NEW ULM,MN,44.29763,-94.44557
6849 SAINT CROIX TRL,NORTH BRANCH,MN,45.51131,-92.96935
5435 SAINT CROIX TRL,NORTH BRANCH,MN,45.50956,-92.99893
1740 COMMERCE DR,NORTH MANKATO,MN,44.17941,-94.03663
2275 ANCHOR DR,NORTH SAINT PAUL,MN,45.01067,-93.00327
500 LAUREL CT,NORTHFIELD,MN,44.45453,-93.16694
520 REFORM ST N,NORWOOD YOUNG AMERICA,MN,44.77384,-93.92916
12585 58TH ST N,OAK PARK HEIGHTS,MN,45.03292,-92.85236
3355 HADLEY AVE N,OAKDALE,MN,44.99691,-92.96398
16401 72ND ST NE,OTSEGO,MN,45.25282,-93.55236
1075 W FRONTAGE RD,OWATONNA,MN,44.09586,-93.25375
135 LANDMARK DR NE,OWATONNA,MN,44.11014,-93.2249
410 HOFFMAN DR,OWATONNA,MN,44.08841,-93.23055
320 MINERAL SPRINGS RD,OWATONNA,MN,44.09033,-93.21922
1220 S OAK AVE,OWATONNA,MN,44.07112,-93.22865
2270 NW 46TH ST,OWATONNA,MN,44.13964,-93.25243
645 OPPORTUNITY PARK DR,PAYNESVILLE,MN,45.37492,-94.73254
100 1ST ST NE,PINE ISLAND,MN,44.20467,-92.64578
722 8TH AVE SE,PIPESTONE,MN,43.99299,-96.30779
95 4TH AVE SE,PLAINVIEW,MN,44.16144,-92.16662
1605 ANNAPOLIS LN N,PLYMOUTH,MN,44.99722,-93.45473
707 NORTHLAND DR,PRINCETON,MN,45.55558,-93.58403
16751 FISH POINT RD SE,PRIOR LAKE,MN,44.70773,-93.41018
915 MAIN ST,RED WING,MN,44.56333,-92.54166
4820 HIGHWAY 61 W,RED WING,MN,44.56769,-92.62499
301 W 7TH ST,RED WING,MN,44.56264,-92.52849
1800 E BRIDGE ST,REDWOOD FALLS,MN,44.54014,-95.07667
3531 9TH ST NW,ROCHESTER,MN,44.03486,-92.51792
315 12TH ST SE,ROCHESTER,MN,44.00735,-92.45814
4120 HIGHWAY 52 N,ROCHESTER,MN,44.06601,-92.50254
1933 BROADWAY AVE S,ROCHESTER,MN,43.99302,-92.46334
6413 BANDEL RD NW,ROCHESTER,MN,44.09213,-92.51037
1350 SALEM RD SW,ROCHESTER,MN,44.00417,-92.48638
3490 55TH ST NW,ROCHESTER,MN,44.07917,-92.51555
1221 MARION RD SE,ROCHESTER,MN,44.00759,-92.44137
2170 WHEELOCK DR NE,ROCHESTER,MN,44.04631,-92.42993
4760 COMMERCIAL DR SW,ROCHESTER,MN,43.95417,-92.47166
3111 WELLNER DR NE,ROCHESTER,MN,44.05637,-92.4536
2109 2ND ST SW,ROCHESTER,MN,44.02223,-92.49601
3520 SARAH PL NW,ROCHESTER,MN,44.05903,-92.52773
560 11TH AVE NW,ROCHESTER,MN,44.02896,-92.47828
1990 SCOTT RD NW,ROCHESTER,MN,44.04435,-92.51523
8090 COUNTY ROAD 50,ROCKFORD,MN,45.08586,-93.73204
14810 S ROBERT TRL,ROSEMOUNT,MN,44.73491,-93.12584
1225 W 4TH ST,RUSH CITY,MN,45.68522,-92.98149
110 STATE ROAD 16,RUSHFORD,MN,43.80523,-91.75449
8800 HIGHWAY 7,SAINT BONIFACIUS,MN,44.90131,-93.74825
160 E 6TH ST,SAINT CHARLES,MN,43.97164,-92.06381
6250 COUNTY ROAD 120,SAINT CLOUD,MN,45.58574,-94.23819
750 15TH AVE SE,SAINT CLOUD,MN,45.55741,-94.12921
2211 W DIVISION ST,SAINT CLOUD,MN,45.5538,-94.1849
1230 HIGHWAY 23 E,SAINT CLOUD,MN,45.56671,-94.13462
3705 23RD ST S,SAINT CLOUD,MN,45.53894,-94.20444
725 44TH AVE N,SAINT CLOUD,MN,45.56588,-94.21351
4020 233RD AVE NW,SAINT FRANCIS,MN,45.39194,-93.36796
15 20TH AVE SE,SAINT JOSEPH,MN,45.56434,-94.29066
200 2ND AVE NW,SAINT JOSEPH,MN,45.56727,-94.32189
4400 O DAY AVE NE,SAINT MICHAEL,MN,45.21768,-93.5981
1815 OLD MINNESOTA AVE,SAINT PETER,MN,44.34837,-93.95228
1305 S MINNESOTA AVE,SAINT PETER,MN,44.31514,-93.96391
105 2ND ST S,SARTELL,MN,45.61536,-94.20456
245 18TH ST N,SAUK RAPIDS,MN,45.60998,-94.17712
14175 VERNON AVE S,SAVAGE,MN,44.74735,-93.35082
1522 VIERLING DR E,SHAKOPEE,MN,44.78065,-93.50425
8225 CROSSINGS BLVD,SHAKOPEE,MN,44.77158,-93.41281
455 CONCORD ST S,SOUTH SAINT PAUL,MN,44.88389,-93.03055
142 W MAIN ST,SPRING GROVE,MN,43.56114,-91.63755
221 N SECTION AVE,SPRING VALLEY,MN,43.68995,-92.38867
5335 STACY TRL,STACY,MN,45.39657,-92.9974
410 MAIN ST N,STEWARTVILLE,MN,43.85834,-92.48814
101 SCHUMANN DR NW,STEWARTVILLE,MN,43.87718,-92.4898
3550 SETTLERS WAY,STILLWATER,MN,45.05563,-92.86197
1100 7TH AVE,TWO HARBORS,MN,47.02544,-91.68084
3278 HIGHWAY 61 N,VADNAIS HEIGHTS,MN,45.04065,-93.03874
106 HIAWATHA DR W,WABASHA,MN,44.37914,-92.0354
809 VISTA BLVD,WACONIA,MN,44.84762,-93.77119
100 SPARROW RD,WACONIA,MN,44.83611,-93.77371
106 10TH AVE S,WAITE PARK,MN,45.55012,-94.2292
458 GREAT OAK DR,WAITE PARK,MN,45.56083,-94.22824
501 ELM AVE W,WASECA,MN,44.07721,-93.51323
100 15TH AVE NE,WASECA,MN,44.09236,-93.50668
2550 HIGHWAY 12 E,WILLMAR,MN,45.12493,-95.00822
212 2ND ST SW,WILLMAR,MN,45.12197,-95.04591
2000 1ST ST S,WILLMAR,MN,45.10224,-95.04371
251 1ST AVE S,WINDOM,MN,43.85602,-95.11484
268 W SARNIA ST,WINONA,MN,44.04472,-91.64777
872 W BROADWAY ST,WINONA,MN,44.05337,-91.66094
1058 HOMER RD,WINONA,MN,44.02844,-91.62113
375 COTTONWOOD DR,WINONA,MN,44.05427,-91.69078
770 E BROADWAY ST,WINONA,MN,44.04435,-91.6186
1601 W 5TH ST,WINONA,MN,44.05431,-91.68113
10100 HUDSON RD,WOODBURY,MN,44.94546,-92.90232
8477 CITY CENTRE DR,WOODBURY,MN,44.92192,-92.93504
1755 N HUMISTON AVE,WORTHINGTON,MN,43.63631,-95.59478
1601 OXFORD ST,WORTHINGTON,MN,43.63124,-95.59004
100 JEFFERSON DR,ZUMBROTA,MN,44.28281,-92.66761
101 N HERITAGE RD,BRANDON,SD,43.59491,-96.62008
2016 20TH ST S,BROOKINGS,SD,44.28217,-96.77065
500 W WILLOW ST,HARRISBURG,SD,43.43229,-96.71437
1430 TOM SAWYER TRL,HARRISBURG,SD,43.44334,-96.72661
901 N EBENEZER AVE,SIOUX FALLS,SD,43.55718,-96.78683
6301 E 41ST ST,SIOUX FALLS,SD,43.51443,-96.64823
1301 N FINNEGAN AVE,SIOUX FALLS,SD,43.55906,-96.65552
7703 S BERGAMOT AVE,SIOUX FALLS,SD,43.47441,-96.78223
4300 E 57TH ST,SIOUX FALLS,SD,43.50079,-96.67412
3310 N CLIFF AVE,SIOUX FALLS,SD,43.58067,-96.71086
8401 W 32ND ST,SIOUX FALLS,SD,43.52062,-96.83022
301 ELDERBERRY RD,ABBOTSFORD,WI,44.92801,-90.31212
237 N MAIN ST,ADAMS,WI,43.96113,-89.81837
603 N MAIN ST,ALMA,WI,44.32694,-91.91861
2929 MEADOWLARK LN,ALTOONA,WI,44.8193,-91.45912
2367 SPOONER AVE,ALTOONA,WI,44.80684,-91.4475
116 BAUMBACH WAY,ALTOONA,WI,44.79237,-91.40788
855 KELLER AVE S,AMERY,WI,45.29629,-92.36633
455 STATE HIGHWAY 64,ANTIGO,WI,45.1616,-89.14764
815 S SUPERIOR ST,ANTIGO,WI,45.12526,-89.15218
2120 E EDGEWOOD DR,APPLETON,WI,44.31694,-88.37231
4085 E CALUMET ST,APPLETON,WI,44.24323,-88.34386
1342 W PROSPECT AVE,APPLETON,WI,44.25306,-88.42805
2175 S MEMORIAL DR STE A,APPLETON,WI,44.24111,-88.41743
730 E WISCONSIN AVE,APPLETON,WI,44.27319,-88.39634
306 N RICHMOND ST,APPLETON,WI,44.26449,-88.41472
3232 S ONEIDA ST,APPLETON,WI,44.23185,-88.40328
11085 STATE HIGHWAY 70 E,ARBOR VITAE,WI,45.92032,-89.69458
1625 E MAIN ST,ARCADIA,WI,44.25024,-91.47257
1814 LAKE SHORE DR W,ASHLAND,WI,46.58314,-90.90471
2300 LAKE SHORE DR E,ASHLAND,WI,46.60412,-90.85499
